"Betweeness"	"Closeness"	"Degree"	"Eigenvector"	"Clustering_coefficient"
0	8.59828758886794e-09	0	-5.32499741904354e-17	0
-1.13337550388815	1.16264872522499e-08	0.00999999999999979	-1.2407778942666e-08	0
0.00964285714285714	1.0196577631636e-08	0.00999999999999979	-8.37709854324222e-08	0.3
-0.0580790548504702	8.8854900943795e-09	0	-6.6821763096895e-07	0.1
-3.06731496520581	9.4064800683065e-09	0	-2.14435096372564e-06	0.1
7.86612749443588	1.19920965300607e-07	0.04	-7.29648705053282e-07	0.1
0	8.50355321818349e-09	0	-1.73133231470265e-06	0.3
-0.115758116883118	9.82787873415989e-09	0	-3.16083768236211e-07	0.1
-10.7061061794327	9.70748486914361e-09	0	-2.75447624455326e-07	0
-3.16220715468864	1.7470536554107e-08	0.00999999999999979	-1.28066107169811e-06	0
0.501943825739019	1.01351946618758e-07	0	-1.28171213270591e-07	0
3.89125833470172	1.24913365006052e-07	0	-1.282739248427e-08	0
3.85369711576152	1.33349848749858e-07	0	-1.28373967829719e-09	0
3.78908997290398	1.5108111578086e-07	0	-1.28479475636363e-10	0
4.37948393275087	1.74424319628291e-07	0.0299999999999998	-1.29401483031458e-11	0
-14.6472911886608	-3.64907049992284e-09	0	-2.11404329884171e-12	0
0.141904587105842	-3.13046533660655e-09	0	5.19826887830601e-14	0
0.141904587105813	-2.71484148866002e-09	0	5.27274853560376e-13	0
0	-1.11373286240419e-08	0	7.46707101959281e-18	0
-0.141904587105785	-1.27728408445967e-08	0	3.91783923233849e-18	0
-0.157737920439217	-1.47967988784272e-08	0	6.89441451408588e-17	0.29
0	-1.35487101293231e-08	0	-2.55988565073238e-06	0.29
-3.32658920100926	-1.58725396284321e-08	0	-1.29154033715014e-05	0.186666666666667
0	-2.70001951390353e-09	0	-1.17183761444257e-05	-0.31
-3.49468671638169	1.74622704796773e-08	0	-8.27506862287273e-05	-0.0516666666666667
9.75483682440239	4.16137013993457e-08	0.00999999999999979	5.14111976192696e-05	0
-0.136173658537032	3.75728743264405e-08	0	-6.51060324468127e-05	0
7.20587940960149	9.66913854840682e-08	0	0.000257475346184067	0
-0.0133514415096938	8.26393998026799e-08	0	-0.000153411966670149	0
0.330981573790339	8.27596460864217e-08	0	-0.000168487355697134	0.00166666666666667
0	3.00135564368549e-08	0	1.6014017755997e-05	0.3
0.920580391314388	3.57734269461135e-08	0	6.05932998815764e-05	0.1
1.6190675824854	3.94410481666476e-08	0	0.000154480761963537	0.029
-0.239575889714615	3.63503137887984e-08	-0.00999999999999979	0.0011064906558809	0.0516666666666667
8.51184356716044	8.03330531092743e-08	-0.00999999999999979	-0.000333733860890018	0.106666666666667
-57.6084621340055	-1.27151499613033e-08	-0.0300000000000002	-0.0028142958968382	0
55.0421820034435	2.76979639538498e-08	0	-0.000227865657451572	0
15.6260249124755	2.04126622319848e-08	0	-3.36630800388659e-05	0
10.4467087634264	1.8018537445056e-08	-0.0199999999999996	-0.000102522555876104	0.00333333333333333
1.16919090969202	1.64629870674478e-08	0	-4.42354258868393e-08	0.02
1.22795497895629	1.53093338923691e-08	0	-4.43685650541122e-09	0
2.16975209629538	9.76385597684939e-09	0	-5.48205321046494e-10	0
-1.57285530358263	-2.10654042620545e-07	0	-8.07059619083752e-06	-0.3
-16.6371918411055	-2.43856476572557e-07	-0.0499999999999998	-7.15063449697859e-05	-0.1
7.86982681636255	1.12646192010465e-08	0	-9.93288256545754e-06	-0.101666666666667
-2.57501100580794	1.11391031895082e-08	0.00999999999999979	-1.29630082355643e-05	0.045
-3.56208572870582	3.40593745169608e-09	0	-5.62939202489115e-05	0.28
-35.5236108028548	2.6289029716694e-09	-0.0700000000000003	-0.000557115012089638	0.00328571428571429
21.0615178448468	1.17992019876671e-08	-0.00999999999999979	-6.99895944797585e-05	0.0466666666666667
-8.99358261668863	5.07811989585772e-09	-0.0300000000000002	-3.77062243009109e-05	0
-0.00841408591408577	6.18876055868338e-09	0	-9.64099551899473e-06	0.00333333333333333
-0.389370094157051	-1.51925870991196e-09	-0.00999999999999979	-1.35489666801558e-06	-0.0666666666666667
4.74011495326658	1.9946681335917e-08	0	-4.42040147325925e-07	-0.0903333333333333
-1.29286646919661	5.31210401071036e-09	0	-4.09428623778243e-07	-0.135
0.120588667561908	1.76217688226772e-08	0	-1.42374070559878e-07	-0.135
-0.0806476491283803	1.76284542145549e-08	0	-1.13323268730192e-07	-0.18
1.89371459606264	2.45651692993253e-08	0	-7.46026702612449e-08	-0.09
-0.0987257049660073	1.08128615940563e-08	0	2.59626215161625e-08	-0.045
0	2.10715021803484e-08	0	3.90133884956012e-09	-0.18
0	2.10636067518425e-08	0	3.2767607139108e-09	-0.18
0.151053883939653	2.41587447108698e-08	0	1.13537195253352e-09	-0.045
-0.00963151397694162	2.07174899768449e-08	0	2.39932889065036e-10	0
0.0211689115455478	2.23295508516895e-08	0	2.86714221705472e-11	-0.3
0.0308004255225001	2.60287378425392e-08	0	5.59129361129978e-11	-0.3
1.4929423740823	2.89497825916392e-08	0	3.0717985475598e-10	-0.1
0.343615470396514	2.52576011698202e-08	0	-9.6063164934057e-07	0
-3.6526614569002	3.03819722097872e-08	0	0.00177892595876424	0
-1.28687405629262	2.85359083185971e-08	0	0.00314767864193586	0
1.01308902523863	2.73212172365576e-08	0	0.00410568923198965	0
8.51406247084265	1.439949160237e-07	0	0.0022323615312949	0
1.86395945930781	1.38353425482434e-07	0	0.00016310244917006	0.01
-0.83229689087301	1.72024166952996e-08	0	-0.000451717203194774	0.005
0	1.45597069254775e-08	0	-6.34091637484147e-05	0
-0.956162746932819	1.19321267147058e-07	0	-6.34982861900876e-06	0
-1.41230609982512	1.12456178168429e-07	0	-6.35560202145489e-07	0
0.587038717414501	1.24878940833013e-07	0.00999999999999979	-6.35334320529096e-08	0
-0.65185122146849	3.22489464569435e-08	0	-6.08284589307522e-09	0
2.45578001799197	3.90114712232133e-08	0.0199999999999996	-4.65121231224928e-10	0
-0.574838261851585	-9.02679641529903e-09	-0.00999999999999979	1.05831432129317e-08	0.01
0.20682507174372	8.03543448221603e-09	0	2.8393611752891e-08	0.01
-0.0565573821694443	1.05769602196668e-08	0	2.70036746155148e-07	-0.0496666666666667
0	8.03843894724675e-09	0	2.14717918978191e-07	-0.3
0.660954738322516	1.78160258435737e-08	0	1.85327810437261e-06	-0.0506666666666666
-0.415209748871575	2.70719988052924e-08	0	2.14422375598275e-06	0.12
3.34148872620335	2.64920217972497e-08	0	7.06802076735555e-06	0.023
1.74696449096484	1.25164590294129e-07	0	2.21192763830198e-05	0
5.42477602302409	1.24568079904244e-07	0	1.65811230639042e-05	0
5.22708717074397	1.80288598998339e-08	0	2.03762557343815e-06	0
